Week,Influenza_A_virus_subtype_H9N2,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2012-15,90,12710,3399,8008,16073,7539,343,23261,1068,100,26616,862,4128,8193,448,99,1119,2107,127,2194,166,1277,4053,406,1955,443,53917199,3590,10991,13994,535,10887
2012-16,88,13333,3525,8997,16244,8195,359,26836,1078,86,28601,787,3953,7671,471,76,913,2296,153,2013,196,1285,4478,402,2065,410,53280397,3616,11380,11307,495,13516
2012-17,76,13244,3791,8265,18204,8622,341,27825,1056,92,29397,932,3683,7333,519,80,704,2337,169,2110,250,1345,4278,455,1824,440,53568032,4021,11245,10553,502,13330
2012-18,88,14582,3995,8109,18872,9460,410,27680,1158,112,29645,883,3535,6685,526,117,649,2696,93,2183,194,1418,4040,451,2129,474,54055678,3601,12840,10451,503,13004
2012-19,88,14288,3859,7204,19223,8391,307,27031,1095,90,28184,852,3501,6565,489,79,635,2054,168,1872,210,1358,4118,387,1887,478,53160491,3316,12857,9686,484,13077
2012-20,82,14030,3553,7367,18593,7815,282,27086,992,77,26427,768,2908,5914,535,90,576,1884,136,1801,170,1269,3727,342,1738,375,52337541,3162,12117,8373,421,12154
2012-21,87,13129,3127,7169,17260,7513,263,27353,973,138,26320,762,2752,6311,522,91,526,1797,105,1652,237,1199,3678,400,1607,345,52278067,2830,11080,8730,364,12378
2012-22,67,13037,3314,8152,16455,8286,311,30886,947,72,24230,745,2595,5711,437,67,583,2148,105,1601,195,1123,3424,345,1355,322,51699304,2672,13894,7800,364,12054
2012-23,101,12976,3109,7980,17443,8088,518,29867,936,76,23960,855,2406,5525,437,93,1404,1954,102,1755,201,1014,3841,295,1277,313,51861843,2631,12231,7063,356,11929
2012-24,81,13143,3209,6927,16456,7777,287,30333,931,75,23109,1109,2650,5797,395,88,582,2271,84,1802,280,1199,3346,289,1260,310,51626810,2807,11509,7038,340,11250
2012-25,88,12496,3557,7514,16075,7576,318,30358,854,81,23644,929,2989,6072,443,94,844,3139,187,1751,156,1084,3262,251,1114,335,51536445,2845,11755,7471,359,10890
2012-26,100,12108,4559,6595,15571,6934,324,30592,845,103,21576,933,2818,6538,444,96,641,2196,132,1543,146,979,2983,306,1028,356,52347419,2410,15637,8310,334,11125
2012-27,85,10720,3404,6534,15694,5903,331,30318,804,92,20580,1005,2940,6161,410,90,783,2522,150,1399,166,990,2820,232,934,318,52103970,2330,8857,6993,277,9764
2012-28,100,18600,3141,6933,16160,6720,230,31193,941,96,22879,966,3281,6534,460,180,4309,2209,145,1515,178,1182,3288,267,961,267,53450438,2651,9793,8113,278,9896
2012-29,93,15136,3136,6693,16171,6617,261,30800,880,77,33189,1034,3276,6530,465,139,2233,1912,186,1514,144,1127,2871,233,1010,309,52956545,2738,12075,8251,379,9997
2012-30,109,14209,3037,6878,15273,6802,321,28058,960,83,22102,1060,3699,7378,438,156,2181,1617,120,1625,174,1199,3734,275,995,298,53604247,2593,10685,8347,294,9949
2012-31,108,14269,3389,6574,14818,6452,285,27140,933,90,22039,1283,3729,7077,495,195,2624,1581,116,1598,136,1191,2981,265,1099,359,114938237,2533,9680,10805,316,9315
2012-32,105,11442,2795,6354,14673,5810,317,26914,988,89,20436,1488,4011,6663,452,196,2431,1351,108,1393,158,1147,2820,265,1080,334,54792691,2592,9092,15704,258,8781
2012-33,77,11771,2706,6307,14864,6243,279,29842,1119,70,20800,1282,3592,5698,458,155,2039,1441,105,1313,240,1097,3062,233,1251,315,55159607,2659,9258,13422,277,9102
2012-34,97,12928,2832,6537,16397,6794,264,29325,1487,80,22181,1386,3916,6613,493,164,1903,1534,93,1480,178,1227,3980,293,1290,318,55924217,2753,9827,13101,303,9694
2012-35,103,13438,3118,7218,18333,7769,297,29390,1728,72,24417,1414,4706,6533,472,131,1677,1553,100,1553,139,1258,4051,320,1363,342,55638103,2533,10865,12766,324,10550
2012-36,105,14456,3347,7475,20465,8738,324,31229,1910,101,26480,1508,3271,6410,450,106,1074,1737,111,1588,130,1202,4746,346,1370,350,55595610,2672,12532,10952,277,11627
2012-37,83,16037,3509,7685,23925,10068,360,32360,2467,79,30325,1621,3479,6841,478,121,1222,1877,75,1900,152,1470,6513,596,1373,339,56569588,2977,12975,11462,372,12424
2012-38,94,17474,3748,7883,27481,9950,324,32421,2912,99,32531,1747,3090,6748,551,110,1165,1863,90,2104,191,1536,8171,444,1472,393,56636067,2936,12666,11475,315,11916
2012-39,88,22255,4158,7704,30019,10445,321,34019,3456,83,36262,1684,3141,7990,756,110,1187,2642,98,2241,191,1502,11555,434,1436,418,56729766,3259,13799,12331,397,13341
2012-40,76,16304,3872,8244,29360,10044,307,33936,3439,90,35271,2036,3384,7077,507,92,1042,2156,97,2083,178,1511,15386,496,1500,413,57063895,3286,14545,11653,350,13784
2012-41,83,15848,3851,9491,30187,9993,367,34305,2910,73,35789,1942,3522,7432,499,85,1030,1820,61,2052,193,1555,16715,563,1512,446,57995455,3254,15682,12725,397,14715
2012-42,94,17561,3831,10388,27527,10585,402,34731,2429,83,39025,1849,3357,7214,579,96,958,2048,115,2399,264,1478,16468,527,1630,447,59932900,3239,16372,11299,408,14127
2012-43,94,17405,4167,9577,27572,9927,395,32191,1624,90,36089,1723,3462,6714,517,94,877,1778,91,2188,377,1539,14692,525,1465,460,61800319,3215,16671,11380,435,13721
2012-44,78,17811,6193,8780,24989,9663,332,33921,1834,73,35695,1740,3698,7126,472,109,902,2657,80,2307,503,1501,11990,451,1481,424,63929731,3647,15342,10084,460,12335
2012-45,98,16302,5273,8734,26369,10110,357,33077,1753,113,39071,1838,4201,7332,534,111,922,2351,69,2380,207,1652,11745,533,1847,464,64462316,3826,15724,9685,531,13805
2012-46,143,17238,5136,9410,26704,10883,343,32188,2193,92,41411,2056,4784,7702,712,124,926,2523,111,2469,303,1818,11419,426,2180,535,64640060,5669,16842,10373,840,14063
2012-47,107,15723,4102,8693,26299,8851,318,31862,1360,108,38571,1898,4551,7508,477,84,765,1962,128,2051,198,1553,9569,382,2102,427,63683066,6567,14063,9762,757,13841
2012-48,94,20253,4721,9798,30625,10781,312,35430,2729,84,43729,2408,6159,8601,545,90,890,2226,120,2350,215,1651,9956,459,2758,507,69433024,6041,17241,9258,748,14937
2012-49,117,22876,5206,10387,30727,11090,329,36812,3537,90,50819,2481,8737,9643,603,184,3132,2684,140,2516,274,1938,12122,458,3553,663,64587283,9424,17270,12716,935,14783
2012-50,86,20457,4371,8495,30949,10950,326,37112,2446,92,49190,2206,9852,8073,506,105,1703,2213,96,2080,199,1931,9774,496,3970,615,63106580,9581,17229,10470,966,13429
2012-51,94,19198,3874,7079,31005,7804,266,36585,2630,83,47110,2183,13264,8238,477,92,1794,2643,86,1905,195,2606,7153,375,5571,607,61696756,13562,14248,8748,1293,10223
2012-52,90,28388,3802,6967,35265,5695,264,39367,2893,101,51076,2266,13404,8837,569,133,2089,3408,77,1915,188,2915,6153,368,5258,598,62163677,17510,11055,8859,1563,8358
