Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2009-44,,8451.0,7077.0,25036.0,15157.0,,50585.0,7800.0,2037.0,68318.0,2982.0,10711.0,155653.0,4287.0,,5320.0,6608.0,276.0,9500.0,1356.0,4821.0,27611.0,953.0,,,39197407.0,38356.0,37938.0,205688.0,7051.0,23612.0
2009-45,,9785.0,7091.0,26860.0,15148.0,,50512.0,7592.0,1610.0,63526.0,2797.0,12020.0,130104.0,4222.0,,5122.0,7159.0,373.0,8615.0,1313.0,4564.0,22171.0,979.0,,,41049979.0,43699.0,36004.0,193153.0,7740.0,23391.0
2009-46,,7507.0,6584.0,25066.0,13367.0,,42742.0,5204.0,1091.0,56266.0,2100.0,11502.0,88152.0,3217.0,721.0,3231.0,5914.0,247.0,6345.0,914.0,3319.0,16391.0,952.0,,,41359970.0,32247.0,29954.0,144074.0,6145.0,18757.0
2009-47,,5597.0,5625.0,20198.0,10425.0,,31193.0,3243.0,661.0,40004.0,1530.0,7637.0,51209.0,1955.0,411.0,2061.0,4229.0,141.0,4216.0,632.0,1829.0,11570.0,688.0,,,34234020.0,22592.0,27818.0,93047.0,4609.0,16915.0
2009-48,,4296.0,4621.0,18345.0,8179.0,632.0,26587.0,1846.0,552.0,32951.0,1164.0,5162.0,35020.0,1414.0,299.0,1287.0,4273.0,180.0,3471.0,470.0,1204.0,8243.0,554.0,,,32697068.0,14431.0,21107.0,63053.0,2700.0,13923.0
2009-49,,4139.0,5470.0,21616.0,8850.0,2423.0,26262.0,1922.0,467.0,32584.0,1189.0,4462.0,32383.0,1337.0,332.0,1251.0,3644.0,195.0,3261.0,444.0,1013.0,7644.0,617.0,,,33655128.0,11477.0,21175.0,58338.0,2263.0,13347.0
2009-50,,4014.0,4944.0,21034.0,8906.0,511.0,24504.0,1581.0,412.0,29011.0,1015.0,3748.0,27996.0,1141.0,276.0,1054.0,3558.0,181.0,2877.0,386.0,1007.0,6176.0,571.0,,,33561013.0,9850.0,19219.0,50147.0,2022.0,12181.0
2009-51,,3241.0,4205.0,20541.0,6921.0,349.0,22046.0,1234.0,335.0,23350.0,785.0,2858.0,23025.0,850.0,233.0,885.0,2600.0,134.0,2535.0,339.0,779.0,5159.0,447.0,,,33325769.0,7011.0,15218.0,42298.0,1503.0,9953.0
2009-52,,2325.0,2808.0,18259.0,4076.0,306.0,18812.0,900.0,273.0,15716.0,797.0,1811.0,18325.0,582.0,176.0,590.0,1902.0,105.0,1382.0,313.0,703.0,3041.0,227.0,,,30736900.0,5297.0,10636.0,37573.0,1054.0,6232.0
2009-53,,1614.0,1879.0,12712.0,2659.0,201.0,13074.0,613.0,142.0,10120.0,485.0,1240.0,10228.0,346.0,110.0,355.0,1325.0,66.0,846.0,178.0,427.0,1867.0,195.0,,,20321338.0,2929.0,7378.0,20188.0,541.0,4128.0
